Key,English
BLOCKS
Drs_spawnTrader,Drs Trader Spawn Block
Drs_spawnTraderDesc,"Here is a Trader to place at your base, keep them safe and utilize them for your trades. Lets rebuild this world!"
woodBarsDesc,You can see and shoot through wood bars and they offer some protection.\nCan be upgraded to Armoured Wood Bars.
woodBarsCentered,Centered Wood Bars
woodBars_Armoured,Armoured Wood Bars
woodBars_ArmouredDesc,You can see and shoot through armoured wood bars and they offer some protection.\nCan be upgraded to Iron Bars.
woodBarsCentered_Armoured,Centered Armoured Wood Bars
ironBarsDesc,You can see and shoot through iron bars and they offer decent protection.\nCan be upgraded to Armoured Iron Bars.
ironBars_Armoured,Armoured Iron Bars
ironBars_ArmouredDesc,You can see and shoot through armoured iron bars and they offer decent protection.\nCan be upgraded to Steel Bars.
ironBarsCentered_Armoured,Centered Armoured Iron Bars
steelBars,Steel Bars
steelBarsDesc,You can see and shoot through steel bars and they offer great protection.\nCan be upgraded to Armoured Steel Bars.
steelBarsCentered,Centered Steel Bars
steelBars_Armoured,Armoured Steel Bars
steelBars_ArmouredDesc,You can see and shoot through armoured steel bars and they offer phenomenal protection.\nCan be upgraded to Stainless Steel Bars.
steelBarsCentered_Armoured,Centered Armoured Steel Bars
stainlessSteelBars,Stainless Steel Bars
steelBarsDesc,You can see and shoot through stainless steel bars and they offer godly protection.
stainlessSteelBarsCentered,Centered Stainless Steel Bars
Oil_Extractor,Oil Extractor
Oil_ExtractorDesc,"Place in a location that has an open 2 block high area, a burning barrel will appear on top when it is ready to loot which takes around 30 minutes to an hour."
ITEMS
WorkOrderQuestSchematic1,Work Order 25
WorkOrderQuestSchematic1Desc,"Write work orders for various resources and blocks in the amount of 25."
WorkOrderQuestSchematic2,Work Order 100
WorkOrderQuestSchematic2Desc,"Write work orders for various resources and blocks in the amount of 100."
WorkOrderQuestSchematic3,Work Order 500
WorkOrderQuestSchematic3Desc,"Write work orders for various resources and blocks in the amount of 500."
WorkOrderQuestSchematic4,Work Order 1000
WorkOrderQuestSchematic4Desc,"Write work orders for various resources and blocks in the amount of 1000."
lootBoxTraderReward,Trader Loot Box
lootBoxConstructionA,Construction Loot Box A
lootBoxConstructionADesc,"Open for construction related loot.\nThe A version is the most likely to contain the best loot."
lootBoxConstructionB,Construction Loot Box B
lootBoxConstructionBDesc,"Open for construction related loot.\nThe B version contains better loot than the C version."
lootBoxConstructionC,Construction Loot Box C
lootBoxConstructionCDesc,"Open for construction related loot.\nThe C version contains early game quality loot."
lootBoxAmmoA,Ammo Loot Box A
lootBoxAmmoADesc,"Loot box A is the most likely to contain the best quality and quantity of ammo."
lootBoxAmmoB,Ammo Lood Box B
lootBoxAmmoBDesc,"Loot box B has a good variety of ammo and a descent quantity."
lootBoxAmmoC,Ammo Lood Box C
lootBoxAmmoCDesc,"Getting set for the apocolypse!\nStock up and defend those bases!These loot boxes will save you in a pinch."

